Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1963,6,1.147,,0.686,-0.042,-0.009,-0.707,,,,1.393,,,0.55,5.95,-1.048,0
1963,7,1.147,,0.68,-0.021,-0.002,-0.685,,,,1.366,,,0.54,5.96,-0.896,0
1963,8,1.055,,0.677,-0.033,-0.009,-0.697,,,,1.375,,,0.63,5.96,-1.017,0
1963,9,1.238,,0.692,-0.042,-0.015,-0.719,,,,1.411,,,0.4,5.92,-0.987,0
1963,10,1.238,,0.692,-0.063,-0.036,-0.764,,,,1.457,,,0.36,5.84,-1.139,0
1963,11,2.213,,0.769,0.022,0.058,-0.655,,,,1.423,,,0.39,5.9,-1.231,0
1963,12,1.238,,0.638,-0.155,-0.094,-0.822,,,,1.46,,,0.46,5.9,-1.444,0
1964,1,1.269,,0.662,-0.1,-0.045,-0.752,,,,1.414,,,0.27,5.86,-1.231,0
1964,2,1.147,,0.586,-0.161,-0.112,-0.813,,,,1.399,,,0.36,6.07,-1.353,0
1964,3,1.177,,0.635,-0.1,-0.057,-0.752,,,,1.387,,,0.47,6,-1.261,0
1964,4,1.025,,0.522,-0.179,-0.155,-0.835,,,,1.356,,,0.55,5.91,-1.261,0
1964,5,1.177,,0.622,-0.088,-0.051,-0.722,,,,1.344,,,0.4,5.79,-1.048,0
1964,6,1.208,,0.653,-0.073,-0.027,-0.71,,,,1.362,,,0.53,5.97,-1.048,0
1964,7,1.177,,0.662,-0.051,-0.018,-0.697,,,,1.359,,,0.59,5.96,-0.957,0
1964,8,1.055,,0.699,-0.036,-0.002,-0.7,,,,1.399,,,0.58,6,-0.987,0
1964,9,1.116,,0.692,-0.045,-0.006,-0.704,,,,1.396,,,0.34,5.9,-0.987,0
1964,10,1.025,,0.708,-0.036,0.004,-0.704,,,,1.411,,,0.52,6.09,-1.078,0
1964,11,1.482,,0.689,-0.03,-0.015,-0.719,,,,1.408,,,0.42,5.93,-1.231,0
1964,12,1.147,,0.619,-0.124,-0.085,-0.789,,,,1.408,,,0.52,6.01,-1.292,0
1965,1,1.269,,0.604,-0.124,-0.082,-0.768,,,,1.372,,,0.46,5.94,-1.322,0
